item,itemLabel,coords,image,dgpcid
http://www.wikidata.org/entity/Q66815139,Conjunto fortificado de Caminha,Point(-8.838913 41.875965),,72531
http://www.wikidata.org/entity/Q66815140,"Casa em Vila Praia de Âncora, jardim e quintal",Point(-8.864247 41.81488),,156204
http://www.wikidata.org/entity/Q995932,Hotel Dom Henrique,Point(-8.60725556 41.15223333),http://commons.wikimedia.org/wiki/Special:FilePath/Portogallo%202007%20%281550300328%29.jpg,7930509
http://www.wikidata.org/entity/Q999002,Praça do Comércio,Point(-9.136388888 38.7075),http://commons.wikimedia.org/wiki/Special:FilePath/Estatua%20de%20Don%20Jos%C3%A9%20I%2C%20Plaza%20del%20Comercio%2C%20Lisboa%2C%20Portugal%2C%202012-05-12%2C%20DD%2005.JPG,70275
http://www.wikidata.org/entity/Q1013623,Vila Viçosa,Point(-7.433333333 38.75),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Vila%20Vicosa1.jpg,26745941
http://www.wikidata.org/entity/Q1013623,Vila Viçosa,Point(-7.433333333 38.75),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Vila%20Vicosa1.jpg,26745941
http://www.wikidata.org/entity/Q1022121,Sistelo,Point(-8.374722222 41.973333333),http://commons.wikimedia.org/wiki/Special:FilePath/Arcos%20de%20Valdevez%20III%20%2827050054972%29.jpg,9109744
http://www.wikidata.org/entity/Q1024355,Castelo Novo,Point(-7.495 40.076666666),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Novo.jpg,72062
http://www.wikidata.org/entity/Q1034514,Capela de Santo António da Neve,Point(-8.162585 40.077256),http://commons.wikimedia.org/wiki/Special:FilePath/PocoNeve.JPG,71809
http://www.wikidata.org/entity/Q1034514,Capela de Santo António da Neve,Point(-8.162585 40.077256),http://commons.wikimedia.org/wiki/Special:FilePath/StoAntonioNeve.JPG,71809
http://www.wikidata.org/entity/Q1046464,Casa da Prelada,Point(-8.63120278 41.17053333),http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20da%20Prelada%20001.jpg,73490
http://www.wikidata.org/entity/Q1048954,Castelo de Castelo Rodrigo,Point(-6.964265 40.877374),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Rodrigo.jpg,71117
http://www.wikidata.org/entity/Q1048959,Castelo Velho de Freixo de Numão,Point(-7.191814 41.072387),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Velho%20de%20Freixo%20de%20Num%C3%A3o.jpg,323273
http://www.wikidata.org/entity/Q1048974,Castelo da Lousa,Point(-7.4032 38.35935278),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20da%20Lousa%2001.JPG,70526
http://www.wikidata.org/entity/Q1049008,Castelo dos Mouros,Point(-9.38959722 38.79254167),http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20dos%20Mouros%2C%20Sintra%2C%20Portugal%2C%202019-05-25%2C%20DD%20112-121%20PAN.jpg,336929
http://www.wikidata.org/entity/Q1049912,Citânia de Sabroso,Point(-8.34155556 41.51202778),http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20Formosa-Cit%C3%A2nia%20de%20Sabroso.png,69792
http://www.wikidata.org/entity/Q1053349,Cemitério do Alto de São João,Point(-9.12178 38.730236),http://commons.wikimedia.org/wiki/Special:FilePath/All%C3%A9e%20Cemit%C3%A9rio%20do%20Alto%20de%20S%C3%A3o%20Jo%C3%A3o%20Lisboa.jpg,17126827
http://www.wikidata.org/entity/Q1054277,Centro Cultural de Belém,Point(-9.207778 38.695556),http://commons.wikimedia.org/wiki/Special:FilePath/CentroCulturalBelem-CCBY.jpg,72418
http://www.wikidata.org/entity/Q1058755,Chafariz da Rua Escura,Point(-8.61208333 41.14252778),http://commons.wikimedia.org/wiki/Special:FilePath/Chafariz%20Rua%20Escura%20%28Porto%29.jpg,74497
http://www.wikidata.org/entity/Q1058768,Chafariz das Virtudes,Point(-8.61896389 41.14465833),http://commons.wikimedia.org/wiki/Special:FilePath/Chafariz%20Virtudes%20%28Porto%29.JPG,70202
http://www.wikidata.org/entity/Q1073173,Palácio Nacional de Queluz,Point(-9.258224 38.750446),http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20royal%20de%20Queluz%20-%20Vue%20g%C3%A9n%C3%A9rale.jpg,70181
http://www.wikidata.org/entity/Q1078864,Igreja de São Roque,Point(-9.143371 38.713555),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Sao%20Roque%20-%20panoramio.jpg,71215
http://www.wikidata.org/entity/Q1085296,Igreja de São Francisco (Évora),Point(-7.908622 38.568965),http://commons.wikimedia.org/wiki/Special:FilePath/Evora23.jpg,70228
http://www.wikidata.org/entity/Q1092430,Cinema Odéon,Point(-9.14138889 38.71680556),http://commons.wikimedia.org/wiki/Special:FilePath/Cinema%20Odeon%20Lisbon.jpg,4153466
http://www.wikidata.org/entity/Q1092450,Cinema São Jorge,Point(-9.146543 38.720351),http://commons.wikimedia.org/wiki/Special:FilePath/S.Jorge2014-3.JPG,73562
http://www.wikidata.org/entity/Q1094262,Citânia de Briteiros,Point(-8.31583333 41.5275),http://commons.wikimedia.org/wiki/Special:FilePath/Castro%20de%20Briteiros.jpg,74371
http://www.wikidata.org/entity/Q1107435,Sé de Silves,Point(-8.4387 37.1901),http://commons.wikimedia.org/wiki/Special:FilePath/Silves%20catedral.JPG,69825
http://www.wikidata.org/entity/Q1107442,Paço Episcopal do Porto,Point(-8.6116 41.142),http://commons.wikimedia.org/wiki/Special:FilePath/Paco%20Episcopal%20%28Porto%29.JPG,70404
http://www.wikidata.org/entity/Q1108805,Coliseu dos Recreios,Point(-9.14016667 38.71675),http://commons.wikimedia.org/wiki/Special:FilePath/Lisboa%20-%20Panorama%20-%2006%20-%20Vista%20desde%20el%20Jard%C3%ADn%20de%20San%20Pedro%20de%20Alc%C3%A1ntara%20%28cropped%29%20Coliseu.jpg,73747
http://www.wikidata.org/entity/Q1108996,Palácio de Seteais,Point(-9.39611111 38.79638889),http://commons.wikimedia.org/wiki/Special:FilePath/Seteais%20fa%C3%A7ade.JPG,72840
http://www.wikidata.org/entity/Q1109226,Teatro Nacional São João,Point(-8.607465 41.144626),http://commons.wikimedia.org/wiki/Special:FilePath/National%20Theatre%2C%20Porto%20%2846865798165%29.jpg,74813
http://www.wikidata.org/entity/Q1114081,Anta Grande da Comenda da Igreja,Point(-8.203180313 38.757949829),http://commons.wikimedia.org/wiki/Special:FilePath/AntadaComenda3.jpg,69719
http://www.wikidata.org/entity/Q1127492,Gruta do Escoural,Point(-8.137497222 38.543625),http://commons.wikimedia.org/wiki/Special:FilePath/Entrada%20da%20Gruta%20do%20Escoural.jpg,69721
http://www.wikidata.org/entity/Q1129406,Convento de Santos-o-Novo,Point(-9.117741 38.72104),http://commons.wikimedia.org/wiki/Special:FilePath/ConventoSantosNovo.jpg,73740
http://www.wikidata.org/entity/Q1129421,Convento dos Capuchos (Sintra),Point(-9.43816667 38.78444444),http://commons.wikimedia.org/wiki/Special:FilePath/Capuchos%203.jpg,72838
http://www.wikidata.org/entity/Q1135626,Anta de Cortiçô,Point(-7.505395 40.670768),,72363
http://www.wikidata.org/entity/Q1140864,Cromeleque do Xarez,Point(-7.37097222 38.45341667),http://commons.wikimedia.org/wiki/Special:FilePath/Monsaraz-cromeleque-xerex2%20%28Fr%20Antunes%29.jpg,69688
http://www.wikidata.org/entity/Q1144592,Palácio Nacional de Belém,Point(-9.20059919 38.69798713),http://commons.wikimedia.org/wiki/Special:FilePath/Palacio%20Belem%20Lisboa.JPG,74574
http://www.wikidata.org/entity/Q1146936,Teatro Nacional de São Carlos,Point(-9.141666666 38.709444444),http://commons.wikimedia.org/wiki/Special:FilePath/TeatroSCarlos-IPPAR.jpg,71093
http://www.wikidata.org/entity/Q1161724,Palácio dos Marqueses de Fronteira,Point(-9.18023611 38.74005833),http://commons.wikimedia.org/wiki/Special:FilePath/Palacio%20Fronteira%20-%20Lisbon%20%287721187114%29.jpg,71199
http://www.wikidata.org/entity/Q1235984,Anta de Zedes,Point(-7.29354722 41.27585278),,6165498
http://www.wikidata.org/entity/Q1237113,Pousada de Santa Maria do Bouro,Point(-8.26666667 41.65916667),http://commons.wikimedia.org/wiki/Special:FilePath/20110929%20D80%20PousadaStaMariaBouro-74590%200776.jpg,74590
http://www.wikidata.org/entity/Q1243187,Grutas artificiais de Alapraia,Point(-9.37722222 38.70638889),http://commons.wikimedia.org/wiki/Special:FilePath/GrutasAlapraia1.jpg,69686
http://www.wikidata.org/entity/Q1253253,Villa romana de Pisões,Point(-7.94888889 37.9975),http://commons.wikimedia.org/wiki/Special:FilePath/Pis%C3%B5es%20Villa%20Rustica.jpg,69754
http://www.wikidata.org/entity/Q1269368,Igreja de São Miguel de Nevogilde,Point(-8.676785 41.164099),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20S%C3%A3o%20Miguel%20de%20Nevogilde.jpg,155978
